input	pass	first	second
random	1	baseline	dual_wide_u1
random	2	dual_wide_u1	baseline
random	3	baseline	dual_wide_u1
random-signed8	1	dual_wide_u1	baseline
random-signed8	2	baseline	dual_wide_u1
random-signed8	3	dual_wide_u1	baseline
