tile_iter,linear_tile,tile_m,tile_n,kt,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,p0_wait_pipe0,0,58268,58664,396
8,1184,16,20,56,p0_wait_pipe1,0,58664,58733,69
8,1184,16,20,56,p0_issue_a,0,58742,58851,109
8,1184,16,20,56,p0_issue_b0,0,58851,58943,92
8,1184,16,20,56,p1_wait_pipe1,1,57589,58480,891
8,1184,16,20,56,p1_issue_b1,1,58480,58602,122
8,1184,16,20,56,c2_wait_a,2,60668,60783,115
8,1184,16,20,56,c2_wait_b0,2,60587,60668,81
8,1184,16,20,56,c2_mma,2,60783,61391,608
8,1184,16,20,56,c2_commit,2,61391,61454,63
8,1184,16,20,56,c3_wait_a,3,60232,60513,281
8,1184,16,20,56,c3_wait_b1,3,60152,60232,80
8,1184,16,20,56,c3_mma,3,60513,61036,523
8,1184,16,20,56,c3_commit,3,61036,61095,59
8,1184,16,20,57,p0_wait_pipe0,0,59010,59687,677
8,1184,16,20,57,p0_wait_pipe1,0,59687,59752,65
8,1184,16,20,57,p0_issue_a,0,59761,59836,75
8,1184,16,20,57,p0_issue_b0,0,59836,59900,64
8,1184,16,20,57,p1_wait_pipe1,1,58641,59513,872
8,1184,16,20,57,p1_issue_b1,1,59513,59606,93
8,1184,16,20,57,c2_wait_a,2,61714,61830,116
8,1184,16,20,57,c2_wait_b0,2,61634,61714,80
8,1184,16,20,57,c2_mma,2,61830,62415,585
8,1184,16,20,57,c2_commit,2,62415,62478,63
8,1184,16,20,57,c3_wait_a,3,61361,61476,115
8,1184,16,20,57,c3_wait_b1,3,61281,61361,80
8,1184,16,20,57,c3_mma,3,61476,61999,523
8,1184,16,20,57,c3_commit,3,61999,62058,59
8,1184,16,20,58,p0_wait_pipe0,0,60092,60808,716
8,1184,16,20,58,p0_wait_pipe1,0,60808,60869,61
8,1184,16,20,58,p0_issue_a,0,60878,60987,109
8,1184,16,20,58,p0_issue_b0,0,60987,61079,92
8,1184,16,20,58,p1_wait_pipe1,1,59641,60499,858
8,1184,16,20,58,p1_issue_b1,1,60499,60592,93
8,1184,16,20,58,c2_wait_a,2,62738,62853,115
8,1184,16,20,58,c2_wait_b0,2,62658,62738,80
8,1184,16,20,58,c2_mma,2,62853,63439,586
8,1184,16,20,58,c2_commit,2,63439,63502,63
8,1184,16,20,58,c3_wait_a,3,62320,62435,115
8,1184,16,20,58,c3_wait_b1,3,62240,62320,80
8,1184,16,20,58,c3_mma,3,62435,62958,523
8,1184,16,20,58,c3_commit,3,62958,63054,96
8,1184,16,20,59,p0_wait_pipe0,0,61146,61831,685
8,1184,16,20,59,p0_wait_pipe1,0,61831,61892,61
8,1184,16,20,59,p0_issue_a,0,61901,61976,75
8,1184,16,20,59,p0_issue_b0,0,61976,62040,64
8,1184,16,20,59,p1_wait_pipe1,1,60620,61626,1006
8,1184,16,20,59,p1_issue_b1,1,61626,61719,93
8,1184,16,20,59,c2_wait_a,2,63764,63879,115
8,1184,16,20,59,c2_wait_b0,2,63684,63764,80
8,1184,16,20,59,c2_mma,2,63879,64463,584
8,1184,16,20,59,c2_commit,2,64463,64526,63
8,1184,16,20,59,c3_wait_a,3,63313,63434,121
8,1184,16,20,59,c3_wait_b1,3,63233,63313,80
8,1184,16,20,59,c3_mma,3,63434,63957,523
8,1184,16,20,59,c3_commit,3,63957,64078,121
8,1184,16,20,60,p0_wait_pipe0,0,62232,62930,698
8,1184,16,20,60,p0_wait_pipe1,0,62930,62991,61
8,1184,16,20,60,p0_issue_a,0,63000,63109,109
8,1184,16,20,60,p0_issue_b0,0,63109,63201,92
8,1184,16,20,60,p1_wait_pipe1,1,61877,62470,593
8,1184,16,20,60,p1_issue_b1,1,62470,62593,123
8,1184,16,20,60,c2_wait_a,2,64791,64908,117
8,1184,16,20,60,c2_wait_b0,2,64711,64791,80
8,1184,16,20,60,c2_mma,2,64908,65497,589
8,1184,16,20,60,c2_commit,2,65497,65560,63
8,1184,16,20,60,c3_wait_a,3,64340,64619,279
8,1184,16,20,60,c3_wait_b1,3,64259,64340,81
8,1184,16,20,60,c3_mma,3,64619,65142,523
8,1184,16,20,60,c3_commit,3,65142,65201,59
8,1184,16,20,61,p0_wait_pipe0,0,63268,63944,676
8,1184,16,20,61,p0_wait_pipe1,0,63944,64006,62
8,1184,16,20,61,p0_issue_a,0,64015,64090,75
8,1184,16,20,61,p0_issue_b0,0,64090,64154,64
8,1184,16,20,61,p1_wait_pipe1,1,62632,63496,864
8,1184,16,20,61,p1_issue_b1,1,63496,63589,93
8,1184,16,20,61,c2_wait_a,2,65823,65938,115
8,1184,16,20,61,c2_wait_b0,2,65742,65823,81
8,1184,16,20,61,c2_mma,2,65938,66617,679
8,1184,16,20,61,c2_commit,2,66617,66679,62
8,1184,16,20,61,c3_wait_a,3,65460,65738,278
8,1184,16,20,61,c3_wait_b1,3,65380,65460,80
8,1184,16,20,61,c3_mma,3,65738,66261,523
8,1184,16,20,61,c3_commit,3,66261,66359,98
8,1184,16,20,62,p0_wait_pipe0,0,64346,64894,548
8,1184,16,20,62,p0_wait_pipe1,0,64894,64955,61
8,1184,16,20,62,p0_issue_a,0,64964,65075,111
8,1184,16,20,62,p0_issue_b0,0,65075,65167,92
8,1184,16,20,62,p1_wait_pipe1,1,63624,64504,880
8,1184,16,20,62,p1_issue_b1,1,64504,64597,93
8,1184,16,20,62,c2_wait_a,2,66941,67056,115
8,1184,16,20,62,c2_wait_b0,2,66861,66941,80
8,1184,16,20,62,c2_mma,2,67056,67640,584
8,1184,16,20,62,c2_commit,2,67640,67703,63
8,1184,16,20,62,c3_wait_a,3,66618,66739,121
8,1184,16,20,62,c3_wait_b1,3,66538,66618,80
8,1184,16,20,62,c3_mma,3,66739,67262,523
8,1184,16,20,62,c3_commit,3,67262,67321,59
8,1184,16,20,63,p0_wait_pipe0,0,65234,65918,684
8,1184,16,20,63,p0_wait_pipe1,0,65918,65979,61
8,1184,16,20,63,p0_issue_a,0,65988,66063,75
8,1184,16,20,63,p0_issue_b0,0,66063,66127,64
8,1184,16,20,63,p1_wait_pipe1,1,64627,65636,1009
8,1184,16,20,63,p1_issue_b1,1,65636,65729,93
8,1184,16,20,63,c2_wait_a,2,67966,68081,115
8,1184,16,20,63,c2_wait_b0,2,67886,67966,80
8,1184,16,20,63,c2_mma,2,68081,68664,583
