tile_iter,linear_tile,tile_m,tile_n,kt,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,p0_wait_pipe0,0,58210,58605,395
8,1184,16,20,56,p0_wait_pipe1,0,58605,59129,524
8,1184,16,20,56,p0_issue_a,0,59138,59247,109
8,1184,16,20,56,p0_issue_b0,0,59247,59339,92
8,1184,16,20,56,p1_wait_pipe1,1,58188,59086,898
8,1184,16,20,56,p1_issue_b1,1,59086,59208,122
8,1184,16,20,56,c2_wait_a,2,60545,60662,117
8,1184,16,20,56,c2_wait_b0,2,60465,60545,80
8,1184,16,20,56,c2_mma,2,60662,61185,523
8,1184,16,20,56,c2_commit,2,61185,61244,59
8,1184,16,20,56,c3_wait_a,3,60905,61023,118
8,1184,16,20,56,c3_wait_b1,3,60822,60905,83
8,1184,16,20,56,c3_mma,3,61023,61614,591
8,1184,16,20,56,c3_commit,3,61614,61677,63
8,1184,16,20,57,p0_wait_pipe0,0,59407,59639,232
8,1184,16,20,57,p0_wait_pipe1,0,59639,60014,375
8,1184,16,20,57,p0_issue_a,0,60023,60098,75
8,1184,16,20,57,p0_issue_b0,0,60098,60162,64
8,1184,16,20,57,p1_wait_pipe1,1,59247,59972,725
8,1184,16,20,57,p1_issue_b1,1,59972,60065,93
8,1184,16,20,57,c2_wait_a,2,61504,61619,115
8,1184,16,20,57,c2_wait_b0,2,61424,61504,80
8,1184,16,20,57,c2_mma,2,61619,62142,523
8,1184,16,20,57,c2_commit,2,62142,62201,59
8,1184,16,20,57,c3_wait_a,3,61937,62057,120
8,1184,16,20,57,c3_wait_b1,3,61856,61937,81
8,1184,16,20,57,c3_mma,3,62057,62638,581
8,1184,16,20,57,c3_commit,3,62638,62701,63
8,1184,16,20,58,p0_wait_pipe0,0,60354,60754,400
8,1184,16,20,58,p0_wait_pipe1,0,60754,60976,222
8,1184,16,20,58,p0_issue_a,0,60985,61094,109
8,1184,16,20,58,p0_issue_b0,0,61094,61186,92
8,1184,16,20,58,p1_wait_pipe1,1,60100,60975,875
8,1184,16,20,58,p1_issue_b1,1,60975,61068,93
8,1184,16,20,58,c2_wait_a,2,62462,62740,278
8,1184,16,20,58,c2_wait_b0,2,62381,62462,81
8,1184,16,20,58,c2_mma,2,62740,63263,523
8,1184,16,20,58,c2_commit,2,63263,63322,59
8,1184,16,20,58,c3_wait_a,3,62962,63081,119
8,1184,16,20,58,c3_wait_b1,3,62882,62962,80
8,1184,16,20,58,c3_mma,3,63081,63662,581
8,1184,16,20,58,c3_commit,3,63662,63725,63
8,1184,16,20,59,p0_wait_pipe0,0,61253,61776,523
8,1184,16,20,59,p0_wait_pipe1,0,61776,62149,373
8,1184,16,20,59,p0_issue_a,0,62158,62233,75
8,1184,16,20,59,p0_issue_b0,0,62233,62297,64
8,1184,16,20,59,p1_wait_pipe1,1,61097,62106,1009
8,1184,16,20,59,p1_issue_b1,1,62106,62199,93
8,1184,16,20,59,c2_wait_a,2,63585,63700,115
8,1184,16,20,59,c2_wait_b0,2,63502,63585,83
8,1184,16,20,59,c2_mma,2,63700,64223,523
8,1184,16,20,59,c2_commit,2,64223,64282,59
8,1184,16,20,59,c3_wait_a,3,63987,64105,118
8,1184,16,20,59,c3_wait_b1,3,63904,63987,83
8,1184,16,20,59,c3_mma,3,64105,64686,581
8,1184,16,20,59,c3_commit,3,64686,64749,63
8,1184,16,20,60,p0_wait_pipe0,0,62494,62579,85
8,1184,16,20,60,p0_wait_pipe1,0,62579,63101,522
8,1184,16,20,60,p0_issue_a,0,63110,63219,109
8,1184,16,20,60,p0_issue_b0,0,63219,63311,92
8,1184,16,20,60,p1_wait_pipe1,1,62357,63103,746
8,1184,16,20,60,p1_issue_b1,1,63103,63225,122
8,1184,16,20,60,c2_wait_a,2,64545,64660,115
8,1184,16,20,60,c2_wait_b0,2,64462,64545,83
8,1184,16,20,60,c2_mma,2,64660,65198,538
8,1184,16,20,60,c2_commit,2,65198,65261,63
8,1184,16,20,60,c3_wait_a,3,65008,65129,121
8,1184,16,20,60,c3_wait_b1,3,64928,65008,80
8,1184,16,20,60,c3_mma,3,65129,65710,581
8,1184,16,20,60,c3_commit,3,65710,65773,63
8,1184,16,20,61,p0_wait_pipe0,0,63378,63758,380
8,1184,16,20,61,p0_wait_pipe1,0,63758,64131,373
8,1184,16,20,61,p0_issue_a,0,64140,64215,75
8,1184,16,20,61,p0_issue_b0,0,64215,64279,64
8,1184,16,20,61,p1_wait_pipe1,1,63264,64123,859
8,1184,16,20,61,p1_issue_b1,1,64123,64216,93
8,1184,16,20,61,c2_wait_a,2,65681,65796,115
8,1184,16,20,61,c2_wait_b0,2,65440,65681,241
8,1184,16,20,61,c2_mma,2,65796,66319,523
8,1184,16,20,61,c2_commit,2,66319,66378,59
8,1184,16,20,61,c3_wait_a,3,66033,66153,120
8,1184,16,20,61,c3_wait_b1,3,65953,66033,80
8,1184,16,20,61,c3_mma,3,66153,66734,581
8,1184,16,20,61,c3_commit,3,66734,66797,63
8,1184,16,20,62,p0_wait_pipe0,0,64471,64723,252
