input	pass	first	second
random	1	dual_wide_clean	ab0_ready
random	2	ab0_ready	dual_wide_clean
random	3	dual_wide_clean	ab0_ready
random-signed8	1	ab0_ready	dual_wide_clean
random-signed8	2	dual_wide_clean	ab0_ready
random-signed8	3	ab0_ready	dual_wide_clean
