size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random,142,0,8,1295,31,16,0,scheduler_atomic,0,787084150936236,787084150936518,0,282,282
16384,random,142,0,8,1295,31,16,1,scheduler_barrier,0,787084150936538,787084150936608,302,372,70
16384,random,142,0,8,1295,31,16,2,scheduler_barrier,1,787084150936244,787084150936278,8,42,34
16384,random,142,0,8,1295,31,16,3,scheduler_barrier,2,787084150936246,787084150936280,10,44,34
16384,random,142,0,8,1295,31,16,4,scheduler_barrier,3,787084150936248,787084150936282,12,46,34
16384,random,142,0,8,1295,31,16,5,decode,0,787084150936627,787084150937024,391,788,397
16384,random,142,0,8,1295,31,16,6,producer_mainloop,0,787084150937069,787084151201223,833,264987,264154
16384,random,142,0,8,1295,31,16,7,producer_mainloop,1,787084150937106,787084151200344,870,264108,263238
16384,random,142,0,8,1295,31,16,8,consumer_mainloop_and_drain,2,787084150937185,787084151203817,949,267581,266632
16384,random,142,0,8,1295,31,16,9,consumer_mainloop_and_drain,3,787084150937187,787084151203285,951,267049,266098
16384,random,142,0,8,1295,31,16,10,mainloop_join_barrier,0,787084151201341,787084151201406,265105,265170,65
16384,random,142,0,8,1295,31,16,11,mainloop_join_barrier,1,787084151200421,787084151200486,264185,264250,65
16384,random,142,0,8,1295,31,16,12,mainloop_join_barrier,2,787084151203826,787084151203891,267590,267655,65
16384,random,142,0,8,1295,31,16,13,mainloop_join_barrier,3,787084151203294,787084151203359,267058,267123,65
16384,random,142,0,8,1295,31,16,14,epilogue_cstore_and_return_barrier,0,787084151204065,787084151214096,267829,277860,10031
16384,random,142,0,8,1295,31,16,15,epilogue_cstore_and_return_barrier,1,787084151204069,787084151214096,267833,277860,10027
16384,random,142,0,8,1295,31,16,16,epilogue_cstore_and_return_barrier,2,787084151204073,787084151214096,267837,277860,10023
16384,random,142,0,8,1295,31,16,17,epilogue_cstore_and_return_barrier,3,787084151204061,787084151214096,267825,277860,10035
16384,random,142,0,8,1295,31,16,18,final_tile_barrier,0,787084151214244,787084151214246,278008,278010,2
16384,random,142,0,8,1295,31,16,19,final_tile_barrier,1,787084151214145,787084151214147,277909,277911,2
16384,random,142,0,8,1295,31,16,20,final_tile_barrier,2,787084151214146,787084151214148,277910,277912,2
16384,random,142,0,8,1295,31,16,21,final_tile_barrier,3,787084151214147,787084151214149,277911,277913,2
16384,random,142,0,8,1295,31,16,22,clock_overhead,0,787084151214285,787084151214287,278049,278051,2
16384,random,142,0,8,1295,31,16,23,clock_overhead,1,787084151214283,787084151214285,278047,278049,2
16384,random,142,0,8,1295,31,16,24,clock_overhead,2,787084151214284,787084151214286,278048,278050,2
16384,random,142,0,8,1295,31,16,25,clock_overhead,3,787084151214282,787084151214284,278046,278048,2
