size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random-signed8,142,0,8,1248,16,14,0,scheduler_atomic,0,787100064122020,787100064122299,0,279,279
16384,random-signed8,142,0,8,1248,16,14,1,scheduler_barrier,0,787100064122319,787100064122389,299,369,70
16384,random-signed8,142,0,8,1248,16,14,2,scheduler_barrier,1,787100064122028,787100064122062,8,42,34
16384,random-signed8,142,0,8,1248,16,14,3,scheduler_barrier,2,787100064122030,787100064122064,10,44,34
16384,random-signed8,142,0,8,1248,16,14,4,scheduler_barrier,3,787100064122032,787100064122066,12,46,34
16384,random-signed8,142,0,8,1248,16,14,5,decode,0,787100064122408,787100064122805,388,785,397
16384,random-signed8,142,0,8,1248,16,14,6,producer_mainloop,0,787100064122850,787100064384467,830,262447,261617
16384,random-signed8,142,0,8,1248,16,14,7,producer_mainloop,1,787100064122887,787100064383604,867,261584,260717
16384,random-signed8,142,0,8,1248,16,14,8,consumer_mainloop_and_drain,2,787100064122966,787100064387077,946,265057,264111
16384,random-signed8,142,0,8,1248,16,14,9,consumer_mainloop_and_drain,3,787100064122968,787100064386545,948,264525,263577
16384,random-signed8,142,0,8,1248,16,14,10,mainloop_join_barrier,0,787100064384585,787100064384650,262565,262630,65
16384,random-signed8,142,0,8,1248,16,14,11,mainloop_join_barrier,1,787100064383681,787100064383746,261661,261726,65
16384,random-signed8,142,0,8,1248,16,14,12,mainloop_join_barrier,2,787100064387086,787100064387151,265066,265131,65
16384,random-signed8,142,0,8,1248,16,14,13,mainloop_join_barrier,3,787100064386554,787100064386619,264534,264599,65
16384,random-signed8,142,0,8,1248,16,14,14,epilogue_cstore_and_return_barrier,0,787100064387325,787100064397356,265305,275336,10031
16384,random-signed8,142,0,8,1248,16,14,15,epilogue_cstore_and_return_barrier,1,787100064387329,787100064397356,265309,275336,10027
16384,random-signed8,142,0,8,1248,16,14,16,epilogue_cstore_and_return_barrier,2,787100064387333,787100064397356,265313,275336,10023
16384,random-signed8,142,0,8,1248,16,14,17,epilogue_cstore_and_return_barrier,3,787100064387321,787100064397356,265301,275336,10035
16384,random-signed8,142,0,8,1248,16,14,18,final_tile_barrier,0,787100064397504,787100064397506,275484,275486,2
16384,random-signed8,142,0,8,1248,16,14,19,final_tile_barrier,1,787100064397405,787100064397407,275385,275387,2
16384,random-signed8,142,0,8,1248,16,14,20,final_tile_barrier,2,787100064397406,787100064397408,275386,275388,2
16384,random-signed8,142,0,8,1248,16,14,21,final_tile_barrier,3,787100064397407,787100064397409,275387,275389,2
16384,random-signed8,142,0,8,1248,16,14,22,clock_overhead,0,787100064397545,787100064397547,275525,275527,2
16384,random-signed8,142,0,8,1248,16,14,23,clock_overhead,1,787100064397543,787100064397545,275523,275525,2
16384,random-signed8,142,0,8,1248,16,14,24,clock_overhead,2,787100064397544,787100064397546,275524,275526,2
16384,random-signed8,142,0,8,1248,16,14,25,clock_overhead,3,787100064397542,787100064397544,275522,275524,2
