size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random-signed8,142,0,8,1196,28,10,0,scheduler_atomic,0,787092265280337,787092265280621,0,284,284
16384,random-signed8,142,0,8,1196,28,10,1,scheduler_barrier,0,787092265280641,787092265280711,304,374,70
16384,random-signed8,142,0,8,1196,28,10,2,scheduler_barrier,1,787092265280345,787092265280379,8,42,34
16384,random-signed8,142,0,8,1196,28,10,3,scheduler_barrier,2,787092265280347,787092265280381,10,44,34
16384,random-signed8,142,0,8,1196,28,10,4,scheduler_barrier,3,787092265280349,787092265280383,12,46,34
16384,random-signed8,142,0,8,1196,28,10,5,decode,0,787092265280730,787092265281127,393,790,397
16384,random-signed8,142,0,8,1196,28,10,6,producer_mainloop,0,787092265281172,787092265545316,835,264979,264144
16384,random-signed8,142,0,8,1196,28,10,7,producer_mainloop,1,787092265281209,787092265545388,872,265051,264179
16384,random-signed8,142,0,8,1196,28,10,8,consumer_mainloop_and_drain,2,787092265281288,787092265547916,951,267579,266628
16384,random-signed8,142,0,8,1196,28,10,9,consumer_mainloop_and_drain,3,787092265281290,787092265548151,953,267814,266861
16384,random-signed8,142,0,8,1196,28,10,10,mainloop_join_barrier,0,787092265545434,787092265545499,265097,265162,65
16384,random-signed8,142,0,8,1196,28,10,11,mainloop_join_barrier,1,787092265545465,787092265545530,265128,265193,65
16384,random-signed8,142,0,8,1196,28,10,12,mainloop_join_barrier,2,787092265547925,787092265547990,267588,267653,65
16384,random-signed8,142,0,8,1196,28,10,13,mainloop_join_barrier,3,787092265548160,787092265548225,267823,267888,65
16384,random-signed8,142,0,8,1196,28,10,14,epilogue_cstore_and_return_barrier,0,787092265548395,787092265558430,268058,278093,10035
16384,random-signed8,142,0,8,1196,28,10,15,epilogue_cstore_and_return_barrier,1,787092265548399,787092265558430,268062,278093,10031
16384,random-signed8,142,0,8,1196,28,10,16,epilogue_cstore_and_return_barrier,2,787092265548403,787092265558430,268066,278093,10027
16384,random-signed8,142,0,8,1196,28,10,17,epilogue_cstore_and_return_barrier,3,787092265548407,787092265558430,268070,278093,10023
16384,random-signed8,142,0,8,1196,28,10,18,final_tile_barrier,0,787092265558578,787092265558580,278241,278243,2
16384,random-signed8,142,0,8,1196,28,10,19,final_tile_barrier,1,787092265558479,787092265558481,278142,278144,2
16384,random-signed8,142,0,8,1196,28,10,20,final_tile_barrier,2,787092265558480,787092265558482,278143,278145,2
16384,random-signed8,142,0,8,1196,28,10,21,final_tile_barrier,3,787092265558481,787092265558483,278144,278146,2
16384,random-signed8,142,0,8,1196,28,10,22,clock_overhead,0,787092265558619,787092265558621,278282,278284,2
16384,random-signed8,142,0,8,1196,28,10,23,clock_overhead,1,787092265558616,787092265558618,278279,278281,2
16384,random-signed8,142,0,8,1196,28,10,24,clock_overhead,2,787092265558617,787092265558619,278280,278282,2
16384,random-signed8,142,0,8,1196,28,10,25,clock_overhead,3,787092265558618,787092265558620,278281,278283,2
