input	pass	first	second
random	1	baseline	e4_3buf
random	2	e4_3buf	baseline
random	3	baseline	e4_3buf
random-signed8	1	e4_3buf	baseline
random-signed8	2	baseline	e4_3buf
random-signed8	3	e4_3buf	baseline
