method,processes,run1_tflops,run2_tflops,run3_tflops,run4_tflops,mean_tflops,sample_sd_tflops,mean_runtime_ms
e7a,4,1797.610,1800.297,1801.040,1801.054,1800.000,1.632,4.886722
cutlass,4,1425.240,1425.430,1420.530,1421.280,1423.120,2.577,6.180872
