input,order,sample1,sample2,sample3,sample4,mean,sample_sd,nfast_vs_mfast_pct
random,mfast,1840.576,1840.138,1839.057,1837.945,1839.429,1.177,+0.0000
random,nfast,1782.678,1779.467,1782.091,1782.449,1781.671,1.489,-3.1400
random-signed8,mfast,1629.996,1630.415,1629.373,1631.968,1630.438,1.106,+0.0000
random-signed8,nfast,1568.932,1570.691,1565.198,1570.655,1568.869,2.581,-3.7762
