variant,sample1,sample2,sample3,sample4,mean,sample_sd,vs_8x16_pct
8x16,1628.617,1630.365,1627.641,1625.577,1628.050,1.997,+0.0000
16x8,1600.183,1600.802,1596.822,1603.149,1600.239,2.612,-1.7082
