input,variant,sample_1_tflops,sample_2_tflops,sample_3_tflops,sample_4_tflops,sample_5_tflops,sample_6_tflops,mean_tflops,sample_sd_tflops,mean_event_ms,vs_x64_mean_paired_percent,vs_x64_ci95_low_percent,vs_x64_ci95_high_percent,vs_exact_mean_paired_percent,vs_exact_ci95_low_percent,vs_exact_ci95_high_percent
random,nsplit_exact,1760.032000,1759.583000,1757.756000,1757.693000,1757.057000,1757.406000,1758.254500,1.236298,5.002743167,-0.473579,-0.534251,-0.412906,0.000000,0.000000,0.000000
random,nsplit_transpose_scalar_x64,1767.299000,1768.029000,1765.510000,1765.258000,1766.504000,1767.126000,1766.621000,1.077307,4.979050833,0.000000,0.000000,0.000000,0.475860,0.414598,0.537123
random,nsplit_transpose_scalar_x32,1764.601000,1766.120000,1766.811000,1766.456000,1765.272000,1765.154000,1765.735667,0.856005,4.981546667,-0.050069,-0.152114,0.051975,0.425537,0.325081,0.525993
random-signed8,nsplit_exact,1570.438000,1567.102000,1568.999000,1569.597000,1565.426000,1562.644000,1567.367667,2.939789,5.612032167,-0.473435,-0.744194,-0.202677,0.000000,0.000000,0.000000
random-signed8,nsplit_transpose_scalar_x64,1571.162000,1574.010000,1574.627000,1582.082000,1574.515000,1572.580000,1574.829333,3.792652,5.585452833,0.000000,0.000000,0.000000,0.476249,0.203260,0.749239
random-signed8,nsplit_transpose_scalar_x32,1571.751000,1573.028000,1573.610000,1576.352000,1574.254000,1573.796000,1573.798500,1.519823,5.589089333,-0.065153,-0.228696,0.098389,0.410600,0.181954,0.639247
