input	pass	order
random	1	baseline cta4 cta8 b1_gap0 b1_gap32 b1_gap64 b1_cross
random	2	b1_cross b1_gap64 b1_gap32 b1_gap0 cta8 cta4 baseline
random	3	cta8 b1_gap0 b1_gap32 b1_gap64 b1_cross baseline cta4
random-signed8	1	b1_cross b1_gap64 b1_gap32 b1_gap0 cta8 cta4 baseline
random-signed8	2	baseline cta4 cta8 b1_gap0 b1_gap32 b1_gap64 b1_cross
random-signed8	3	b1_gap32 b1_gap0 cta8 cta4 baseline b1_cross b1_gap64
