pass,timestamp,uuid,temp_c,power_w,sm_clock_mhz,gpu_util_pct
1,2026/07/22 13:17:31.067, GPU-eb98326c-c1dd-1104-c4d7-24decdb06aef, 31, 188.84, 1965, 0
2,2026/07/22 13:17:34.447, GPU-eb98326c-c1dd-1104-c4d7-24decdb06aef, 32, 229.50, 1965, 0
3,2026/07/22 13:17:37.766, GPU-eb98326c-c1dd-1104-c4d7-24decdb06aef, 32, 226.06, 1965, 0
