tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,60,1428,90,64,0,c2_mma,2,147363,148103,740
8,1184,16,20,60,1428,90,64,0,c2_commit,2,148103,148167,64
8,1184,16,20,60,1428,90,64,0,c3_wait_b1,3,147023,147091,68
8,1184,16,20,60,1428,90,64,0,c3_wait_a0,3,147091,147175,84
8,1184,16,20,60,1428,90,64,0,c3_mma,3,147217,147783,566
8,1184,16,20,60,1428,90,64,0,c3_commit,3,147783,147910,127
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe0,0,144368,147209,2841
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe1,0,147209,147270,61
8,1184,16,20,61,1429,91,128,1,p0_issue_a0,0,147332,147397,65
8,1184,16,20,61,1429,91,128,1,p0_issue_a1,0,147434,147503,69
8,1184,16,20,61,1429,91,128,1,p0_issue_b0,0,147544,147635,91
8,1184,16,20,61,1429,91,128,1,p1_wait_pipe1,1,144252,147267,3015
8,1184,16,20,61,1429,91,128,1,p1_issue_b1,1,147359,147452,93
8,1184,16,20,61,1429,91,128,1,c2_wait_b0,2,148369,149370,1001
8,1184,16,20,61,1429,91,128,1,c2_wait_a0,2,149370,149478,108
8,1184,16,20,61,1429,91,128,1,c2_wait_a1,2,149480,149730,250
8,1184,16,20,61,1429,91,128,1,c2_mma,2,149732,151450,1718
8,1184,16,20,61,1429,91,128,1,c2_commit,2,151450,151577,127
8,1184,16,20,61,1429,91,128,1,c3_wait_b1,3,148170,148717,547
8,1184,16,20,61,1429,91,128,1,c3_wait_a0,3,148717,149288,571
8,1184,16,20,61,1429,91,128,1,c3_wait_a1,3,149290,149685,395
8,1184,16,20,61,1429,91,128,1,c3_mma,3,149687,151386,1699
8,1184,16,20,61,1429,91,128,1,c3_commit,3,151386,151513,127
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe0,0,147869,148450,581
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe1,0,148450,148511,61
8,1184,16,20,62,1430,93,64,0,p0_issue_a0,0,148573,148638,65
8,1184,16,20,62,1430,93,64,0,p0_issue_b0,0,148698,148789,91
8,1184,16,20,62,1430,93,64,0,p1_wait_pipe1,1,147611,148365,754
8,1184,16,20,62,1430,93,64,0,p1_issue_b1,1,148457,148550,93
8,1184,16,20,62,1430,93,64,0,c2_wait_b0,2,151896,151964,68
8,1184,16,20,62,1430,93,64,0,c2_wait_a0,2,151964,152051,87
8,1184,16,20,62,1430,93,64,0,c2_mma,2,152093,152785,692
8,1184,16,20,62,1430,93,64,0,c2_commit,2,152785,152912,127
8,1184,16,20,62,1430,93,64,0,c3_wait_b1,3,151836,151904,68
8,1184,16,20,62,1430,93,64,0,c3_wait_a0,3,151904,151989,85
8,1184,16,20,62,1430,93,64,0,c3_mma,3,152031,152721,690
8,1184,16,20,62,1430,93,64,0,c3_commit,3,152721,152848,127
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe0,0,149029,152024,2995
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe1,0,152024,152085,61
8,1184,16,20,63,1431,94,128,1,p0_issue_a0,0,152149,152214,65
8,1184,16,20,63,1431,94,128,1,p0_issue_a1,0,152251,152320,69
8,1184,16,20,63,1431,94,128,1,p0_issue_b0,0,152361,152452,91
8,1184,16,20,63,1431,94,128,1,p1_wait_pipe1,1,148713,152024,3311
8,1184,16,20,63,1431,94,128,1,p1_issue_b1,1,152116,152209,93
8,1184,16,20,63,1431,94,128,1,c2_wait_b0,2,153174,154023,849
8,1184,16,20,63,1431,94,128,1,c2_wait_a0,2,154023,154131,108
8,1184,16,20,63,1431,94,128,1,c2_wait_a1,2,154133,154216,83
8,1184,16,20,63,1431,94,128,1,c2_mma,2,154218,155892,1674
8,1184,16,20,63,1431,94,128,1,c2_commit,2,155892,155954,62
8,1184,16,20,63,1431,94,128,1,c3_wait_b1,3,153104,153167,63
8,1184,16,20,63,1431,94,128,1,c3_wait_a0,3,153167,153912,745
8,1184,16,20,63,1431,94,128,1,c3_wait_a1,3,153914,153994,80
8,1184,16,20,63,1431,94,128,1,c3_mma,3,153996,155507,1511
8,1184,16,20,63,1431,94,128,1,c3_commit,3,155507,155634,127
