tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe0,0,134589,134866,277
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe1,0,134866,134927,61
8,1184,16,20,56,1424,84,64,0,p0_issue_a0,0,134989,135054,65
8,1184,16,20,56,1424,84,64,0,p0_issue_b0,0,135114,135205,91
8,1184,16,20,56,1424,84,64,0,p1_wait_pipe1,1,132229,133581,1352
8,1184,16,20,56,1424,84,64,0,p1_issue_b1,1,133673,133766,93
8,1184,16,20,56,1424,84,64,0,c2_wait_b0,2,138657,138725,68
8,1184,16,20,56,1424,84,64,0,c2_wait_a0,2,138725,138810,85
8,1184,16,20,56,1424,84,64,0,c2_mma,2,138852,139381,529
8,1184,16,20,56,1424,84,64,0,c2_commit,2,139381,139438,57
8,1184,16,20,56,1424,84,64,0,c3_wait_b1,3,136900,136968,68
8,1184,16,20,56,1424,84,64,0,c3_wait_a0,3,136968,137053,85
8,1184,16,20,56,1424,84,64,0,c3_mma,3,137095,137816,721
8,1184,16,20,56,1424,84,64,0,c3_commit,3,137816,137943,127
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe0,0,135448,138750,3302
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe1,0,138750,138811,61
8,1184,16,20,57,1425,85,128,1,p0_issue_a0,0,138873,138938,65
8,1184,16,20,57,1425,85,128,1,p0_issue_a1,0,138975,139044,69
8,1184,16,20,57,1425,85,128,1,p0_issue_b0,0,139085,139176,91
8,1184,16,20,57,1425,85,128,1,p1_wait_pipe1,1,133926,136782,2856
8,1184,16,20,57,1425,85,128,1,p1_issue_b1,1,136874,136967,93
8,1184,16,20,57,1425,85,128,1,c2_wait_b0,2,139637,141535,1898
8,1184,16,20,57,1425,85,128,1,c2_wait_a0,2,141535,141644,109
8,1184,16,20,57,1425,85,128,1,c2_wait_a1,2,141646,141726,80
