tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe0,0,127236,127352,116
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe1,0,127352,127413,61
8,1184,16,20,56,1424,84,64,0,p0_issue_a0,0,127475,127540,65
8,1184,16,20,56,1424,84,64,0,p0_issue_b0,0,127600,127691,91
8,1184,16,20,56,1424,84,64,0,p1_wait_pipe1,1,125676,126733,1057
8,1184,16,20,56,1424,84,64,0,p1_issue_b1,1,126826,126919,93
8,1184,16,20,56,1424,84,64,0,c2_wait_b0,2,130893,130961,68
8,1184,16,20,56,1424,84,64,0,c2_wait_a0,2,130961,131045,84
8,1184,16,20,56,1424,84,64,0,c2_mma,2,131087,131616,529
8,1184,16,20,56,1424,84,64,0,c2_commit,2,131616,131673,57
8,1184,16,20,56,1424,84,64,0,c3_wait_b1,3,129341,129412,71
8,1184,16,20,56,1424,84,64,0,c3_wait_a0,3,129412,129496,84
8,1184,16,20,56,1424,84,64,0,c3_mma,3,129538,130307,769
8,1184,16,20,56,1424,84,64,0,c3_commit,3,130307,130434,127
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe0,0,127927,130909,2982
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe1,0,130909,130970,61
8,1184,16,20,57,1425,85,128,1,p0_issue_a0,0,131037,131102,65
8,1184,16,20,57,1425,85,128,1,p0_issue_a1,0,131139,131208,69
8,1184,16,20,57,1425,85,128,1,p0_issue_b0,0,131249,131340,91
8,1184,16,20,57,1425,85,128,1,p1_wait_pipe1,1,127078,129345,2267
8,1184,16,20,57,1425,85,128,1,p1_issue_b1,1,129437,129530,93
8,1184,16,20,57,1425,85,128,1,c2_wait_b0,2,131867,133770,1903
8,1184,16,20,57,1425,85,128,1,c2_wait_a0,2,133770,133878,108
8,1184,16,20,57,1425,85,128,1,c2_wait_a1,2,133880,133960,80
8,1184,16,20,57,1425,85,128,1,c2_mma,2,133962,135160,1198
8,1184,16,20,57,1425,85,128,1,c2_commit,2,135160,135223,63
8,1184,16,20,57,1425,85,128,1,c3_wait_b1,3,130694,131088,394
8,1184,16,20,57,1425,85,128,1,c3_wait_a0,3,131088,131971,883
8,1184,16,20,57,1425,85,128,1,c3_wait_a1,3,131973,132223,250
8,1184,16,20,57,1425,85,128,1,c3_mma,3,132225,133242,1017
8,1184,16,20,57,1425,85,128,1,c3_commit,3,133242,133299,57
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe0,0,131576,131857,281
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe1,0,131857,131921,64
8,1184,16,20,58,1426,87,64,0,p0_issue_a0,0,131983,132048,65
8,1184,16,20,58,1426,87,64,0,p0_issue_b0,0,132108,132199,91
8,1184,16,20,58,1426,87,64,0,p1_wait_pipe1,1,129689,130896,1207
8,1184,16,20,58,1426,87,64,0,p1_issue_b1,1,130988,131081,93
8,1184,16,20,58,1426,87,64,0,c2_wait_b0,2,135492,135561,69
8,1184,16,20,58,1426,87,64,0,c2_wait_a0,2,135561,135645,84
8,1184,16,20,58,1426,87,64,0,c2_mma,2,135687,136216,529
8,1184,16,20,58,1426,87,64,0,c2_commit,2,136216,136273,57
8,1184,16,20,58,1426,87,64,0,c3_wait_b1,3,133568,133636,68
8,1184,16,20,58,1426,87,64,0,c3_wait_a0,3,133636,133720,84
8,1184,16,20,58,1426,87,64,0,c3_mma,3,133762,134291,529
8,1184,16,20,58,1426,87,64,0,c3_commit,3,134291,134391,100
8,1184,16,20,59,1427,88,128,1,p0_wait_pipe0,0,132432,135595,3163
8,1184,16,20,59,1427,88,128,1,p0_wait_pipe1,0,135595,135657,62
8,1184,16,20,59,1427,88,128,1,p0_issue_a0,0,135719,135784,65
8,1184,16,20,59,1427,88,128,1,p0_issue_a1,0,135821,135890,69
8,1184,16,20,59,1427,88,128,1,p0_issue_b0,0,135931,136022,91
8,1184,16,20,59,1427,88,128,1,p1_wait_pipe1,1,131240,133496,2256
8,1184,16,20,59,1427,88,128,1,p1_issue_b1,1,133588,133681,93
8,1184,16,20,59,1427,88,128,1,c2_wait_b0,2,136468,137933,1465
8,1184,16,20,59,1427,88,128,1,c2_wait_a0,2,137933,138049,116
8,1184,16,20,59,1427,88,128,1,c2_wait_a1,2,138051,138131,80
8,1184,16,20,59,1427,88,128,1,c2_mma,2,138133,139468,1335
8,1184,16,20,59,1427,88,128,1,c2_commit,2,139468,139531,63
8,1184,16,20,59,1427,88,128,1,c3_wait_b1,3,134649,135348,699
8,1184,16,20,59,1427,88,128,1,c3_wait_a0,3,135348,137324,1976
8,1184,16,20,59,1427,88,128,1,c3_wait_a1,3,137326,137571,245
8,1184,16,20,59,1427,88,128,1,c3_mma,3,137573,138764,1191
8,1184,16,20,59,1427,88,128,1,c3_commit,3,138764,138891,127
8,1184,16,20,60,1428,90,64,0,p0_wait_pipe0,0,136259,136542,283
8,1184,16,20,60,1428,90,64,0,p0_wait_pipe1,0,136542,136603,61
8,1184,16,20,60,1428,90,64,0,p0_issue_a0,0,136667,136732,65
8,1184,16,20,60,1428,90,64,0,p0_issue_b0,0,136792,136883,91
8,1184,16,20,60,1428,90,64,0,p1_wait_pipe1,1,133842,134902,1060
8,1184,16,20,60,1428,90,64,0,p1_issue_b1,1,134994,135087,93
8,1184,16,20,60,1428,90,64,0,c2_wait_b0,2,139848,139916,68
8,1184,16,20,60,1428,90,64,0,c2_wait_a0,2,139916,140000,84
8,1184,16,20,60,1428,90,64,0,c2_mma,2,140042,140571,529
8,1184,16,20,60,1428,90,64,0,c2_commit,2,140571,140628,57
8,1184,16,20,60,1428,90,64,0,c3_wait_b1,3,139208,139277,69
8,1184,16,20,60,1428,90,64,0,c3_wait_a0,3,139277,139361,84
8,1184,16,20,60,1428,90,64,0,c3_mma,3,139404,139980,576
8,1184,16,20,60,1428,90,64,0,c3_commit,3,139980,140043,63
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe0,0,137120,139973,2853
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe1,0,139973,140034,61
8,1184,16,20,61,1429,91,128,1,p0_issue_a0,0,140096,140161,65
8,1184,16,20,61,1429,91,128,1,p0_issue_a1,0,140198,140267,69
8,1184,16,20,61,1429,91,128,1,p0_issue_b0,0,140308,140399,91
8,1184,16,20,61,1429,91,128,1,p1_wait_pipe1,1,135246,139340,4094
8,1184,16,20,61,1429,91,128,1,p1_issue_b1,1,139432,139525,93
8,1184,16,20,61,1429,91,128,1,c2_wait_b0,2,140828,142883,2055
8,1184,16,20,61,1429,91,128,1,c2_wait_a0,2,142883,142991,108
8,1184,16,20,61,1429,91,128,1,c2_wait_a1,2,142993,143073,80
8,1184,16,20,61,1429,91,128,1,c2_mma,2,143075,144268,1193
8,1184,16,20,61,1429,91,128,1,c2_commit,2,144268,144395,127
8,1184,16,20,61,1429,91,128,1,c3_wait_b1,3,140239,140302,63
8,1184,16,20,61,1429,91,128,1,c3_wait_a0,3,140302,141359,1057
8,1184,16,20,61,1429,91,128,1,c3_wait_a1,3,141361,142051,690
8,1184,16,20,61,1429,91,128,1,c3_mma,3,142053,143070,1017
8,1184,16,20,61,1429,91,128,1,c3_commit,3,143070,143127,57
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe0,0,140633,140909,276
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe1,0,140909,140970,61
8,1184,16,20,62,1430,93,64,0,p0_issue_a0,0,141032,141097,65
8,1184,16,20,62,1430,93,64,0,p0_issue_b0,0,141157,141248,91
8,1184,16,20,62,1430,93,64,0,p1_wait_pipe1,1,139684,140440,756
8,1184,16,20,62,1430,93,64,0,p1_issue_b1,1,140532,140625,93
8,1184,16,20,62,1430,93,64,0,c2_wait_b0,2,144717,144786,69
8,1184,16,20,62,1430,93,64,0,c2_wait_a0,2,144786,144870,84
8,1184,16,20,62,1430,93,64,0,c2_mma,2,144912,145441,529
8,1184,16,20,62,1430,93,64,0,c2_commit,2,145441,145498,57
8,1184,16,20,62,1430,93,64,0,c3_wait_b1,3,143393,143461,68
8,1184,16,20,62,1430,93,64,0,c3_wait_a0,3,143461,143545,84
8,1184,16,20,62,1430,93,64,0,c3_mma,3,143587,144332,745
8,1184,16,20,62,1430,93,64,0,c3_commit,3,144332,144459,127
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe0,0,141485,144929,3444
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe1,0,144929,144990,61
8,1184,16,20,63,1431,94,128,1,p0_issue_a0,0,145056,145121,65
8,1184,16,20,63,1431,94,128,1,p0_issue_a1,0,145158,145227,69
8,1184,16,20,63,1431,94,128,1,p0_issue_b0,0,145268,145359,91
8,1184,16,20,63,1431,94,128,1,p1_wait_pipe1,1,140788,143346,2558
8,1184,16,20,63,1431,94,128,1,p1_issue_b1,1,143438,143531,93
8,1184,16,20,63,1431,94,128,1,c2_wait_b0,2,145693,147440,1747
8,1184,16,20,63,1431,94,128,1,c2_wait_a0,2,147440,147554,114
8,1184,16,20,63,1431,94,128,1,c2_wait_a1,2,147556,147636,80
8,1184,16,20,63,1431,94,128,1,c2_mma,2,147638,148827,1189
8,1184,16,20,63,1431,94,128,1,c2_commit,2,148827,148954,127
8,1184,16,20,63,1431,94,128,1,c3_wait_b1,3,144716,144782,66
8,1184,16,20,63,1431,94,128,1,c3_wait_a0,3,144782,146281,1499
8,1184,16,20,63,1431,94,128,1,c3_wait_a1,3,146283,146674,391
8,1184,16,20,63,1431,94,128,1,c3_mma,3,146676,147693,1017
8,1184,16,20,63,1431,94,128,1,c3_commit,3,147693,147750,57
