tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,60,1428,90,64,0,c2_wait_a0,2,142725,142809,84
8,1184,16,20,60,1428,90,64,0,c2_mma,2,142851,143380,529
8,1184,16,20,60,1428,90,64,0,c2_commit,2,143380,143437,57
8,1184,16,20,60,1428,90,64,0,c3_wait_b1,3,141210,141281,71
8,1184,16,20,60,1428,90,64,0,c3_wait_a0,3,141281,141365,84
8,1184,16,20,60,1428,90,64,0,c3_mma,3,141407,142146,739
8,1184,16,20,60,1428,90,64,0,c3_commit,3,142146,142273,127
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe0,0,139938,142799,2861
8,1184,16,20,61,1429,91,128,1,p0_wait_pipe1,0,142799,142860,61
8,1184,16,20,61,1429,91,128,1,p0_issue_a0,0,142922,142987,65
8,1184,16,20,61,1429,91,128,1,p0_issue_a1,0,143024,143093,69
8,1184,16,20,61,1429,91,128,1,p0_issue_b0,0,143134,143225,91
8,1184,16,20,61,1429,91,128,1,p1_wait_pipe1,1,138628,141185,2557
8,1184,16,20,61,1429,91,128,1,p1_issue_b1,1,141278,141371,93
8,1184,16,20,61,1429,91,128,1,c2_wait_b0,2,143633,145373,1740
8,1184,16,20,61,1429,91,128,1,c2_wait_a0,2,145373,145482,109
8,1184,16,20,61,1429,91,128,1,c2_wait_a1,2,145484,145565,81
8,1184,16,20,61,1429,91,128,1,c2_mma,2,145567,146950,1383
8,1184,16,20,61,1429,91,128,1,c2_commit,2,146950,147014,64
8,1184,16,20,61,1429,91,128,1,c3_wait_b1,3,142529,142592,63
8,1184,16,20,61,1429,91,128,1,c3_wait_a0,3,142592,144246,1654
8,1184,16,20,61,1429,91,128,1,c3_wait_a1,3,144248,144328,80
8,1184,16,20,61,1429,91,128,1,c3_mma,3,144330,145347,1017
8,1184,16,20,61,1429,91,128,1,c3_commit,3,145347,145404,57
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe0,0,143459,143575,116
8,1184,16,20,62,1430,93,64,0,p0_wait_pipe1,0,143575,143636,61
8,1184,16,20,62,1430,93,64,0,p0_issue_a0,0,143699,143764,65
8,1184,16,20,62,1430,93,64,0,p0_issue_b0,0,143824,143915,91
8,1184,16,20,62,1430,93,64,0,p1_wait_pipe1,1,141531,142741,1210
8,1184,16,20,62,1430,93,64,0,p1_issue_b1,1,142833,142926,93
8,1184,16,20,62,1430,93,64,0,c2_wait_b0,2,147282,147350,68
8,1184,16,20,62,1430,93,64,0,c2_wait_a0,2,147350,147434,84
8,1184,16,20,62,1430,93,64,0,c2_mma,2,147476,148005,529
8,1184,16,20,62,1430,93,64,0,c2_commit,2,148005,148062,57
8,1184,16,20,62,1430,93,64,0,c3_wait_b1,3,145672,145740,68
8,1184,16,20,62,1430,93,64,0,c3_wait_a0,3,145740,145824,84
8,1184,16,20,62,1430,93,64,0,c3_mma,3,145866,146630,764
8,1184,16,20,62,1430,93,64,0,c3_commit,3,146630,146757,127
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe0,0,144152,147290,3138
8,1184,16,20,63,1431,94,128,1,p0_wait_pipe1,0,147290,147351,61
8,1184,16,20,63,1431,94,128,1,p0_issue_a0,0,147416,147481,65
8,1184,16,20,63,1431,94,128,1,p0_issue_a1,0,147518,147587,69
8,1184,16,20,63,1431,94,128,1,p0_issue_b0,0,147628,147719,91
8,1184,16,20,63,1431,94,128,1,p1_wait_pipe1,1,143085,145651,2566
8,1184,16,20,63,1431,94,128,1,p1_issue_b1,1,145743,145836,93
8,1184,16,20,63,1431,94,128,1,c2_wait_b0,2,148259,149717,1458
8,1184,16,20,63,1431,94,128,1,c2_wait_a0,2,149717,149830,113
8,1184,16,20,63,1431,94,128,1,c2_wait_a1,2,149832,149912,80
8,1184,16,20,63,1431,94,128,1,c2_mma,2,149914,151297,1383
8,1184,16,20,63,1431,94,128,1,c2_commit,2,151297,151360,63
8,1184,16,20,63,1431,94,128,1,c3_wait_b1,3,147013,147076,63
8,1184,16,20,63,1431,94,128,1,c3_wait_a0,3,147076,148292,1216
8,1184,16,20,63,1431,94,128,1,c3_wait_a1,3,148294,148536,242
8,1184,16,20,63,1431,94,128,1,c3_mma,3,148538,149555,1017
8,1184,16,20,63,1431,94,128,1,c3_commit,3,149555,149612,57
