input	pass	first	second
random	1	dual_wide_clean	balanced_producers
random	2	balanced_producers	dual_wide_clean
random	3	dual_wide_clean	balanced_producers
random-signed8	1	balanced_producers	dual_wide_clean
random-signed8	2	dual_wide_clean	balanced_producers
random-signed8	3	balanced_producers	dual_wide_clean
