input,tile_envelope,scheduler_envelope,mainloop_to_join,epilogue_envelope,producer_lead,producer_end_skew,consumer_end_skew,wait_a_total_max,wait_b0_total_max,wait_b1_total_max,mma_b0_issue_total_max,mma_b1_issue_total_max,commit_total_max,final_drain_max,producer_join_wait_max,epilogue_pct
random,279398,839,267983,10077,2927,34,106,40590,25755,21593,45056,40704,17152,713,3137,3.606683
random-signed8,277012,804,265604,10078,2880,35,106,37260,25715,21583,45056,40704,17152,713,3089,3.637749
