mode,elapsed_ms,iter,pipe,warp_id,tma_start,tma_end,tma_cycles,mma_start,mma_end,mma_cycles,ld_start,ld_end,ld_cycles,pack_start,pack_end,pack_cycles,st_start,st_end,st_cycles,v_tma_start,v_tma_end,v_tma_cycles,pv_start,pv_end,pv_cycles,total_start,total_end,total_cycles,ld_warp0_start,ld_warp0_end,ld_warp1_start,ld_warp1_end,ld_warp2_start,ld_warp2_end,ld_warp3_start,ld_warp3_end,ld_warp4_start,ld_warp4_end,ld_warp5_start,ld_warp5_end,ld_warp6_start,ld_warp6_end,ld_warp7_start,ld_warp7_end,pack_warp0_start,pack_warp0_end,pack_warp1_start,pack_warp1_end,pack_warp2_start,pack_warp2_end,pack_warp3_start,pack_warp3_end,pack_warp4_start,pack_warp4_end,pack_warp5_start,pack_warp5_end,pack_warp6_start,pack_warp6_end,pack_warp7_start,pack_warp7_end,st_warp0_start,st_warp0_end,st_warp1_start,st_warp1_end,st_warp2_start,st_warp2_end,st_warp3_start,st_warp3_end,st_warp4_start,st_warp4_end,st_warp5_start,st_warp5_end,st_warp6_start,st_warp6_end,st_warp7_start,st_warp7_end,status,cuda_error,notes
qk_pack_smem_pv_2pipe_trace,0.105376,10,0,0,46953,47999,1046,50419,51180,761,53863,55096,1233,53882,55929,2047,54573,56862,2289,54142,54991,849,57832,58684,852,46953,58684,11731,53865,53882,55008,55025,53869,53886,55017,55035,53863,53880,55074,55091,53868,53885,55078,55096,53884,54571,55070,55875,53888,54571,55082,55857,53882,54605,55139,55929,53887,54595,55144,55890,54573,54826,55877,56862,54573,54835,55859,56782,54607,54959,55931,56507,54597,54958,55892,56706,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,11,1,1,48199,49135,936,52314,53102,788,54645,56375,1730,54665,57004,2339,55442,57586,2144,55165,56103,938,58590,59344,754,48199,59344,11145,54649,54666,56358,56375,54651,54668,56323,56340,54645,54663,55747,55764,54647,54664,56121,56138,54668,55537,56417,57004,54670,55535,56382,56977,54665,55440,55817,56397,54666,55487,56180,56738,55539,56147,57006,57586,55537,56115,56979,57531,55442,55574,56399,56947,55489,55718,56740,57228,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,12,0,0,51277,52228,951,55214,55991,777,58577,59765,1188,58600,60803,2203,59244,61560,2316,58811,59666,855,62086,63183,1097,51277,63183,11906,58583,58604,59529,59675,58586,58607,59550,59691,58577,58598,59602,59727,58580,58601,59703,59765,58606,59242,59722,60783,58609,59250,59733,60788,58600,59266,59773,60760,58603,59276,59816,60803,59244,59516,60785,61560,59252,59537,60790,61408,59268,59583,60762,61299,59278,59685,60805,61379,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,13,1,1,53326,54178,852,56486,57501,1015,59565,61660,2095,59588,62333,2745,60639,62590,1951,59747,60689,942,63219,63990,771,53326,63990,10664,59578,59599,61288,61428,59811,59832,61588,61660,59568,59592,60805,60953,59565,59586,60885,61025,59601,60717,61473,62073,59834,60865,61716,62333,59594,60637,60995,61573,59588,60653,61067,61634,60719,61275,62075,62318,60867,61575,62335,62590,60639,60791,61575,61893,60655,60872,61636,61956,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,14,0,0,56683,57962,1279,59887,60835,948,63175,64360,1185,63194,65171,1977,63830,66143,2313,63384,64244,860,66850,67731,881,56683,67731,11048,63181,63198,64221,64238,63175,63192,64269,64286,63178,63195,64320,64337,63185,63202,64343,64360,63200,63828,64285,65141,63194,63829,64333,65138,63197,63870,64384,65146,63204,63860,64408,65171,63830,64054,65143,66143,63831,64071,65140,66065,63872,64221,65148,65888,63862,64237,65173,65936,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,15,1,1,57744,58611,867,61809,62683,874,63934,65760,1826,63953,66416,2463,64785,66926,2141,64435,65400,965,67762,68531,769,57744,68531,10787,63938,63955,65743,65760,63940,63957,65631,65648,63936,63953,65429,65446,63934,63951,65374,65391,63957,64905,65802,66416,63959,64865,65690,66262,63955,64801,65488,66048,63953,64783,65434,65995,64907,65583,66418,66926,64867,65457,66264,66815,64803,64976,66050,66545,64785,64936,65997,66364,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,16,0,0,61380,62449,1069,64479,65239,760,67748,68929,1181,67771,69975,2204,68405,70812,2407,68100,68952,852,71361,72526,1165,61380,72526,11146,67755,67776,68706,68818,67748,67769,68667,68794,67757,67778,68787,68871,67752,67773,68858,68929,67778,68413,68863,69936,67771,68403,68854,69935,67780,68438,68918,69943,67775,68454,68979,69975,68415,68693,69938,70748,68405,68654,69937,70693,68440,68769,69945,70812,68456,68841,69977,70685,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,17,1,1,62849,63725,876,65871,66874,1003,68736,70758,2022,68759,71423,2664,69869,71766,1897,69063,70004,941,72459,73237,778,62849,73237,10388,68758,68779,70673,70758,68757,68778,70496,70630,68753,68777,70398,70542,68736,68757,70285,70441,68781,69901,70801,71423,68780,69883,70672,71315,68779,69875,70584,71172,68759,69867,70483,71064,69903,70660,71425,71766,69885,70483,71317,71555,69877,70385,71174,71483,69869,70271,71066,71339,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,18,0,0,66017,67111,1094,69049,69812,763,72438,73681,1243,72457,74464,2007,73143,75308,2165,72720,73575,855,76224,77155,931,66017,77155,11138,72439,72456,73600,73617,72441,72458,73485,73502,72443,72460,73571,73588,72438,72455,73664,73681,72458,73141,73664,74440,72460,73141,73549,74440,72462,73175,73633,74400,72457,73175,73731,74464,73143,73431,74442,75290,73143,73335,74442,75308,73177,73454,74402,75103,73177,73588,74466,75169,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,19,1,1,67059,67944,885,70869,71798,929,73213,74977,1764,73232,75643,2411,74043,76168,2125,73742,74697,955,77056,77832,776,67059,77832,10773,73217,73234,74810,74827,73219,73236,74960,74977,73213,73230,74671,74688,73215,73233,74678,74695,73236,74080,74869,75458,73238,74168,75019,75643,73232,74048,74730,75304,73235,74041,74738,75306,74082,74642,75460,75999,74170,74817,75645,76168,74050,74239,75309,75877,74043,74236,75308,75779,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
