stage,status,max_abs,max_rel,bad_count
fused_real_attention_constant_k1_fused_B1_H1_Sq128_Skv128_D128_noncausal_scale0.0883883_pattern_constant,ok,0,0,0
fused_real_attention_rank1_k4_fused_B1_H1_Sq128_Skv512_D128_noncausal_scale0.0883883_pattern_rank1,ok,0.000246018,0.00383047,0
fused_real_attention_random_k4_fused_B1_H1_Sq128_Skv512_D128_noncausal_scale0.0883883_pattern_random,ok,0.000160936,3.66708,0
fused_real_attention_random_k8_fused_B1_H1_Sq128_Skv1024_D128_noncausal_scale0.0883883_pattern_random,ok,0.000107653,27.6507,0
