iter,warp,pipe,stage,start_norm,end_norm,cycles,rate_148sm
0,0,0,K TMA,6,1171,1165,4.808 TB/s
0,0,0,QK MMA,1318,2569,1251,573.1 TFLOP/s
0,2,0,V TMA,429,1663,1234,4.539 TB/s
0,2,0,PV MMA,6896,7883,987,726.4 TFLOP/s
0,4.h0,0,LD,2634,2655,21,66.683 TB/s
0,4.h0,0,PACK,2657,3771,1114,reg
0,4.h0,0,ST,3773,4058,285,2.457 TB/s
0,4.h1,0,LD,4072,4299,227,6.169 TB/s
0,4.h1,0,PACK,4346,5113,767,reg
0,4.h1,0,ST,5115,5339,224,3.126 TB/s
0,5.h0,0,LD,2891,2917,26,53.859 TB/s
0,5.h0,0,PACK,2919,3999,1080,reg
0,5.h0,0,ST,4001,4666,665,1.053 TB/s
0,5.h1,0,LD,4679,4755,76,18.426 TB/s
0,5.h1,0,PACK,4802,5741,939,reg
0,5.h1,0,ST,5743,6426,683,1.025 TB/s
0,6.h0,0,LD,2866,2887,21,66.683 TB/s
0,6.h0,0,PACK,2889,3978,1089,reg
0,6.h0,0,ST,3980,4634,654,1.071 TB/s
0,6.h1,0,LD,4649,4762,113,12.392 TB/s
0,6.h1,0,PACK,4809,5598,789,reg
0,6.h1,0,ST,5600,6020,420,1.667 TB/s
0,7.h0,0,LD,2860,2884,24,58.348 TB/s
0,7.h0,0,PACK,2886,3983,1097,reg
0,7.h0,0,ST,3985,4602,617,1.135 TB/s
0,7.h1,0,LD,4616,4735,119,11.768 TB/s
0,7.h1,0,PACK,4780,5747,967,reg
0,7.h1,0,ST,5749,6350,601,1.165 TB/s
1,1,1,K TMA,0,887,887,6.315 TB/s
1,1,1,QK MMA,1034,2564,1530,468.6 TFLOP/s
1,3,1,V TMA,425,1451,1026,5.459 TB/s
1,3,1,PV MMA,7828,8803,975,735.4 TFLOP/s
1,8.h0,1,LD,2622,2645,23,60.884 TB/s
1,8.h0,1,PACK,2647,3721,1074,reg
1,8.h0,1,ST,3723,3897,174,4.024 TB/s
1,8.h1,1,LD,3912,3944,32,43.761 TB/s
1,8.h1,1,PACK,3987,4796,809,reg
1,8.h1,1,ST,4798,4933,135,5.186 TB/s
1,9.h0,1,LD,2874,2898,24,58.348 TB/s
1,9.h0,1,PACK,2900,3930,1030,reg
1,9.h0,1,ST,3932,4426,494,1.417 TB/s
1,9.h1,1,LD,4440,4515,75,18.671 TB/s
1,9.h1,1,PACK,4557,5569,1012,reg
1,9.h1,1,ST,5571,5982,411,1.704 TB/s
1,10.h0,1,LD,2853,2876,23,60.884 TB/s
1,10.h0,1,PACK,2878,3891,1013,reg
1,10.h0,1,ST,3893,4257,364,1.924 TB/s
1,10.h1,1,LD,4270,4387,117,11.969 TB/s
1,10.h1,1,PACK,4429,5249,820,reg
1,10.h1,1,ST,5251,5379,128,5.470 TB/s
1,11.h0,1,LD,2877,2903,26,53.859 TB/s
1,11.h0,1,PACK,2905,3931,1026,reg
1,11.h0,1,ST,3933,4457,524,1.336 TB/s
1,11.h1,1,LD,4470,4538,68,20.593 TB/s
1,11.h1,1,PACK,4580,5593,1013,reg
1,11.h1,1,ST,5595,6054,459,1.525 TB/s
2,0,0,K TMA,2666,3713,1047,5.350 TB/s
2,0,0,QK MMA,4879,6047,1168,613.8 TFLOP/s
2,2,0,V TMA,8077,8943,866,6.468 TB/s
2,2,0,PV MMA,11620,12565,945,758.7 TFLOP/s
