position	pass	input	method
1	1	random	gemm
2	1	random	tma_only
3	1	random-signed8	gemm
4	1	random-signed8	tma_only
1	2	random-signed8	tma_only
2	2	random-signed8	gemm
3	2	random	tma_only
4	2	random	gemm
1	3	random-signed8	tma_only
2	3	random-signed8	gemm
3	3	random	tma_only
4	3	random	gemm
1	4	random	gemm
2	4	random	tma_only
3	4	random-signed8	gemm
4	4	random-signed8	tma_only
