size,m,n,k,cta_m,cta_n,stage_k,mtile,ntile,ktiles,ctas,launch_ctas,warmup,iters,grid_swizzle,group_m,group_n,pipe1_phase_cycles,pipe1_tma_phase_cycles,pipe1_mma_phase_cycles,cstore_swizzle_128b,single_pipeline,single_pipeline_ntile_128,single_pipeline_wide_mma,single_pipeline_split_tma,single_pipeline_interleave_pipes,tma_a_l2_promotion,tma_b_l2_promotion,tma_c_l2_promotion,input_init,store_mode,dynamic_smem_bytes,event_ms,wall_ms,event_TFLOPS,wall_TFLOPS,checksum,device
8192,8192,8192,8192,256,256,64,32,32,128,1024,148,5,10,1,12,1,128,96,0,1,0,0,0,1,1,3,3,0,random,tma,197632,0.647424,0.648692,1698.287,1694.967,00000000,NVIDIA B200
16384,16384,16384,16384,256,256,64,64,64,256,4096,148,5,10,1,10,1,128,0,0,1,0,0,0,1,1,0,0,0,random,tma,197632,5.349936,5.351105,1644.149,1643.790,00000000,NVIDIA B200
32768,32768,32768,32768,256,256,64,128,128,512,16384,148,5,10,1,3,1,128,0,0,1,0,0,0,1,1,0,0,0,random,tma,197632,44.935955,44.937105,1565.979,1565.939,00000000,NVIDIA B200
