size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random,142,0,8,1196,28,10,43,epilogue_chunk_3_stage_and_tma_issue,3,interval,51121193219509,51121193220368,275097,275956,859,859,1,859.000000
16384,random,142,0,8,1196,28,10,44,epilogue_group_0_commit_wait_and_barrier,0,interval,51121193215383,51121193218616,270971,274204,3233,3233,1,3233.000000
16384,random,142,0,8,1196,28,10,45,epilogue_group_0_commit_wait_and_barrier,1,interval,51121193215380,51121193215444,270968,271032,64,64,1,64.000000
16384,random,142,0,8,1196,28,10,46,epilogue_group_0_commit_wait_and_barrier,2,interval,51121193215384,51121193215448,270972,271036,64,64,1,64.000000
16384,random,142,0,8,1196,28,10,47,epilogue_group_0_commit_wait_and_barrier,3,interval,51121193215392,51121193215456,270980,271044,64,64,1,64.000000
16384,random,142,0,8,1196,28,10,48,epilogue_group_1_commit_wait_and_barrier,0,interval,51121193220425,51121193223647,276013,279235,3222,3222,1,3222.000000
16384,random,142,0,8,1196,28,10,49,epilogue_group_1_commit_wait_and_barrier,1,interval,51121193220411,51121193220477,275999,276065,66,66,1,66.000000
16384,random,142,0,8,1196,28,10,50,epilogue_group_1_commit_wait_and_barrier,2,interval,51121193220413,51121193220478,276001,276066,65,65,1,65.000000
16384,random,142,0,8,1196,28,10,51,epilogue_group_1_commit_wait_and_barrier,3,interval,51121193220414,51121193220479,276002,276067,65,65,1,65.000000
16384,random,142,0,8,1196,28,10,52,epilogue_complete,0,interval,51121193213593,51121193223670,269181,279258,10077,10077,1,10077.000000
16384,random,142,0,8,1196,28,10,53,epilogue_complete,1,interval,51121193213597,51121193223670,269185,279258,10073,10073,1,10073.000000
16384,random,142,0,8,1196,28,10,54,epilogue_complete,2,interval,51121193213601,51121193223670,269189,279258,10069,10069,1,10069.000000
16384,random,142,0,8,1196,28,10,55,epilogue_complete,3,interval,51121193213605,51121193223670,269193,279258,10065,10065,1,10065.000000
16384,random,142,0,8,1196,28,10,56,final_tile_barrier,0,interval,51121193223836,51121193223862,279424,279450,26,26,1,26.000000
16384,random,142,0,8,1196,28,10,57,final_tile_barrier,1,interval,51121193223741,51121193223862,279329,279450,121,121,1,121.000000
16384,random,142,0,8,1196,28,10,58,final_tile_barrier,2,interval,51121193223743,51121193223862,279331,279450,119,119,1,119.000000
16384,random,142,0,8,1196,28,10,59,final_tile_barrier,3,interval,51121193223744,51121193223862,279332,279450,118,118,1,118.000000
16384,random,142,0,8,1196,28,10,60,clock_overhead,0,interval,51121193223896,51121193223898,279484,279486,2,2,1,2.000000
16384,random,142,0,8,1196,28,10,61,clock_overhead,1,interval,51121193223893,51121193223895,279481,279483,2,2,1,2.000000
16384,random,142,0,8,1196,28,10,62,clock_overhead,2,interval,51121193223894,51121193223896,279482,279484,2,2,1,2.000000
16384,random,142,0,8,1196,28,10,63,clock_overhead,3,interval,51121193223895,51121193223897,279483,279485,2,2,1,2.000000
