size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random,142,0,8,1239,23,13,0,scheduler_atomic,0,interval,788117713562913,788117713563219,0,306,306,306,1,306.000000
16384,random,142,0,8,1239,23,13,1,scheduler_barrier,0,interval,788117713563262,788117713563332,349,419,70,70,1,70.000000
16384,random,142,0,8,1239,23,13,2,scheduler_barrier,1,interval,788117713562919,788117713562953,6,40,34,34,1,34.000000
16384,random,142,0,8,1239,23,13,3,scheduler_barrier,2,interval,788117713562921,788117713562955,8,42,34,34,1,34.000000
16384,random,142,0,8,1239,23,13,4,scheduler_barrier,3,interval,788117713562928,788117713562962,15,49,34,34,1,34.000000
16384,random,142,0,8,1239,23,13,5,scheduler_decode,0,interval,788117713563353,788117713563752,440,839,399,399,1,399.000000
16384,random,142,0,8,1239,23,13,6,producer_reuse_wait_and_tma_issue_loop,0,interval,788117713563845,788117713828178,932,265265,264333,264333,1,264333.000000
16384,random,142,0,8,1239,23,13,7,producer_reuse_wait_and_tma_issue_loop,1,interval,788117713563843,788117713828156,930,265243,264313,264313,1,264313.000000
16384,random,142,0,8,1239,23,13,8,consumer_mainloop_and_final_drain,2,interval,788117713563918,788117713830999,1005,268086,267081,267081,1,267081.000000
16384,random,142,0,8,1239,23,13,9,consumer_mainloop_and_final_drain,3,interval,788117713563926,788117713831105,1013,268192,267179,267179,1,267179.000000
16384,random,142,0,8,1239,23,13,10,consumer_wait_a,2,aggregate,788117713564094,788117713829472,1181,266559,265378,38664,256,151.031250
16384,random,142,0,8,1239,23,13,11,consumer_wait_a,3,aggregate,788117713564102,788117713829733,1189,266820,265631,38505,256,150.410156
16384,random,142,0,8,1239,23,13,12,consumer_wait_b0,2,aggregate,788117713565633,788117713829585,2720,266672,263952,26018,256,101.632812
16384,random,142,0,8,1239,23,13,13,consumer_wait_b0,3,aggregate,788117713565638,788117713829846,2725,266933,264208,25245,256,98.613281
16384,random,142,0,8,1239,23,13,14,consumer_mma_b0_issue,2,aggregate,788117713565912,788117713829777,2999,266864,263865,45056,512,88.000000
16384,random,142,0,8,1239,23,13,15,consumer_mma_b0_issue,3,aggregate,788117713565920,788117713830038,3007,267125,264118,45056,512,88.000000
16384,random,142,0,8,1239,23,13,16,consumer_wait_b1,2,aggregate,788117713566104,788117713829877,3191,266964,263773,21557,256,84.207031
16384,random,142,0,8,1239,23,13,17,consumer_wait_b1,3,aggregate,788117713566112,788117713830138,3199,267225,264026,21749,256,84.957031
16384,random,142,0,8,1239,23,13,18,consumer_mma_b1_issue,2,aggregate,788117713566204,788117713830052,3291,267139,263848,40704,512,79.500000
16384,random,142,0,8,1239,23,13,19,consumer_mma_b1_issue,3,aggregate,788117713566212,788117713830313,3299,267400,264101,40704,512,79.500000
16384,random,142,0,8,1239,23,13,20,consumer_mma_commit,2,aggregate,788117713566379,788117713830135,3466,267222,263756,17152,256,67.000000
