size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random-signed8,142,0,8,1190,22,10,0,scheduler_atomic,0,interval,788129051682403,788129051682732,0,329,329,329,1,329.000000
16384,random-signed8,142,0,8,1190,22,10,1,scheduler_barrier,0,interval,788129051682775,788129051682845,372,442,70,70,1,70.000000
16384,random-signed8,142,0,8,1190,22,10,2,scheduler_barrier,1,interval,788129051682409,788129051682443,6,40,34,34,1,34.000000
16384,random-signed8,142,0,8,1190,22,10,3,scheduler_barrier,2,interval,788129051682411,788129051682445,8,42,34,34,1,34.000000
16384,random-signed8,142,0,8,1190,22,10,4,scheduler_barrier,3,interval,788129051682418,788129051682452,15,49,34,34,1,34.000000
16384,random-signed8,142,0,8,1190,22,10,5,scheduler_decode,0,interval,788129051682866,788129051683265,463,862,399,399,1,399.000000
16384,random-signed8,142,0,8,1190,22,10,6,producer_reuse_wait_and_tma_issue_loop,0,interval,788129051683358,788129051946675,955,264272,263317,263317,1,263317.000000
16384,random-signed8,142,0,8,1190,22,10,7,producer_reuse_wait_and_tma_issue_loop,1,interval,788129051683356,788129051946599,953,264196,263243,263243,1,263243.000000
16384,random-signed8,142,0,8,1190,22,10,8,consumer_mainloop_and_final_drain,2,interval,788129051683431,788129051949480,1028,267077,266049,266049,1,266049.000000
16384,random-signed8,142,0,8,1190,22,10,9,consumer_mainloop_and_final_drain,3,interval,788129051683439,788129051949374,1036,266971,265935,265935,1,265935.000000
16384,random-signed8,142,0,8,1190,22,10,10,consumer_wait_a,2,aggregate,788129051683607,788129051948104,1204,265701,264497,37687,256,147.214844
16384,random-signed8,142,0,8,1190,22,10,11,consumer_wait_a,3,aggregate,788129051683615,788129051947852,1212,265449,264237,36147,256,141.199219
16384,random-signed8,142,0,8,1190,22,10,12,consumer_wait_b0,2,aggregate,788129051685146,788129051948217,2743,265814,263071,26632,256,104.031250
16384,random-signed8,142,0,8,1190,22,10,13,consumer_wait_b0,3,aggregate,788129051685151,788129051947965,2748,265562,262814,26345,256,102.910156
16384,random-signed8,142,0,8,1190,22,10,14,consumer_mma_b0_issue,2,aggregate,788129051685259,788129051948409,2856,266006,263150,45056,512,88.000000
16384,random-signed8,142,0,8,1190,22,10,15,consumer_mma_b0_issue,3,aggregate,788129051685267,788129051948157,2864,265754,262890,45056,512,88.000000
16384,random-signed8,142,0,8,1190,22,10,16,consumer_wait_b1,2,aggregate,788129051685451,788129051948509,3048,266106,263058,21561,256,84.222656
16384,random-signed8,142,0,8,1190,22,10,17,consumer_wait_b1,3,aggregate,788129051685459,788129051948257,3056,265854,262798,21722,256,84.851562
16384,random-signed8,142,0,8,1190,22,10,18,consumer_mma_b1_issue,2,aggregate,788129051685551,788129051948684,3148,266281,263133,40704,512,79.500000
16384,random-signed8,142,0,8,1190,22,10,19,consumer_mma_b1_issue,3,aggregate,788129051685559,788129051948432,3156,266029,262873,40704,512,79.500000
