size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random,142,0,8,1241,25,13,43,epilogue_chunk_3_stage_and_tma_issue,3,interval,788110992455242,788110992456105,275017,275880,863,863,1,863.000000
16384,random,142,0,8,1241,25,13,44,epilogue_group_0_commit_wait_and_barrier,0,interval,788110992451120,788110992454353,270895,274128,3233,3233,1,3233.000000
16384,random,142,0,8,1241,25,13,45,epilogue_group_0_commit_wait_and_barrier,1,interval,788110992451121,788110992451185,270896,270960,64,64,1,64.000000
16384,random,142,0,8,1241,25,13,46,epilogue_group_0_commit_wait_and_barrier,2,interval,788110992451132,788110992451196,270907,270971,64,64,1,64.000000
16384,random,142,0,8,1241,25,13,47,epilogue_group_0_commit_wait_and_barrier,3,interval,788110992451118,788110992451183,270893,270958,65,65,1,65.000000
16384,random,142,0,8,1241,25,13,48,epilogue_group_1_commit_wait_and_barrier,0,interval,788110992456150,788110992459384,275925,279159,3234,3234,1,3234.000000
16384,random,142,0,8,1241,25,13,49,epilogue_group_1_commit_wait_and_barrier,1,interval,788110992456151,788110992456216,275926,275991,65,65,1,65.000000
16384,random,142,0,8,1241,25,13,50,epilogue_group_1_commit_wait_and_barrier,2,interval,788110992456162,788110992456227,275937,276002,65,65,1,65.000000
16384,random,142,0,8,1241,25,13,51,epilogue_group_1_commit_wait_and_barrier,3,interval,788110992456148,788110992456214,275923,275989,66,66,1,66.000000
16384,random,142,0,8,1241,25,13,52,epilogue_complete,0,interval,788110992449334,788110992459407,269109,279182,10073,10073,1,10073.000000
16384,random,142,0,8,1241,25,13,53,epilogue_complete,1,interval,788110992449338,788110992459407,269113,279182,10069,10069,1,10069.000000
16384,random,142,0,8,1241,25,13,54,epilogue_complete,2,interval,788110992449342,788110992459407,269117,279182,10065,10065,1,10065.000000
16384,random,142,0,8,1241,25,13,55,epilogue_complete,3,interval,788110992449330,788110992459407,269105,279182,10077,10077,1,10077.000000
16384,random,142,0,8,1241,25,13,56,final_tile_barrier,0,interval,788110992459561,788110992459587,279336,279362,26,26,1,26.000000
16384,random,142,0,8,1241,25,13,57,final_tile_barrier,1,interval,788110992459481,788110992459587,279256,279362,106,106,1,106.000000
16384,random,142,0,8,1241,25,13,58,final_tile_barrier,2,interval,788110992459492,788110992459587,279267,279362,95,95,1,95.000000
16384,random,142,0,8,1241,25,13,59,final_tile_barrier,3,interval,788110992459478,788110992459587,279253,279362,109,109,1,109.000000
16384,random,142,0,8,1241,25,13,60,clock_overhead,0,interval,788110992459621,788110992459623,279396,279398,2,2,1,2.000000
16384,random,142,0,8,1241,25,13,61,clock_overhead,1,interval,788110992459619,788110992459621,279394,279396,2,2,1,2.000000
16384,random,142,0,8,1241,25,13,62,clock_overhead,2,interval,788110992459620,788110992459622,279395,279397,2,2,1,2.000000
16384,random,142,0,8,1241,25,13,63,clock_overhead,3,interval,788110992459618,788110992459620,279393,279395,2,2,1,2.000000
