size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random-signed8,142,0,8,1235,19,13,0,scheduler_atomic,0,interval,788126793820011,788126793820282,0,271,271,271,1,271.000000
16384,random-signed8,142,0,8,1235,19,13,1,scheduler_barrier,0,interval,788126793820325,788126793820395,314,384,70,70,1,70.000000
16384,random-signed8,142,0,8,1235,19,13,2,scheduler_barrier,1,interval,788126793820017,788126793820051,6,40,34,34,1,34.000000
16384,random-signed8,142,0,8,1235,19,13,3,scheduler_barrier,2,interval,788126793820019,788126793820053,8,42,34,34,1,34.000000
16384,random-signed8,142,0,8,1235,19,13,4,scheduler_barrier,3,interval,788126793820026,788126793820060,15,49,34,34,1,34.000000
16384,random-signed8,142,0,8,1235,19,13,5,scheduler_decode,0,interval,788126793820416,788126793820815,405,804,399,399,1,399.000000
16384,random-signed8,142,0,8,1235,19,13,6,producer_reuse_wait_and_tma_issue_loop,0,interval,788126793820908,788126794083146,897,263135,262238,262238,1,262238.000000
16384,random-signed8,142,0,8,1235,19,13,7,producer_reuse_wait_and_tma_issue_loop,1,interval,788126793820906,788126794083147,895,263136,262241,262241,1,262241.000000
16384,random-signed8,142,0,8,1235,19,13,8,consumer_mainloop_and_final_drain,2,interval,788126793820981,788126794085976,970,265965,264995,264995,1,264995.000000
16384,random-signed8,142,0,8,1235,19,13,9,consumer_mainloop_and_final_drain,3,interval,788126793820989,788126794086082,978,266071,265093,265093,1,265093.000000
16384,random-signed8,142,0,8,1235,19,13,10,consumer_wait_a,2,aggregate,788126793821157,788126794084449,1146,264438,263292,35257,256,137.722656
16384,random-signed8,142,0,8,1235,19,13,11,consumer_wait_a,3,aggregate,788126793821165,788126794084710,1154,264699,263545,37260,256,145.546875
16384,random-signed8,142,0,8,1235,19,13,12,consumer_wait_b0,2,aggregate,788126793822239,788126794084562,2228,264551,262323,25700,256,100.390625
