input	pass	first	second
random	1	dual_wide_u1	dual_wide_auto
random	2	dual_wide_auto	dual_wide_u1
random	3	dual_wide_u1	dual_wide_auto
random-signed8	1	dual_wide_auto	dual_wide_u1
random-signed8	2	dual_wide_u1	dual_wide_auto
random-signed8	3	dual_wide_auto	dual_wide_u1
